text,emotion
confidence correct strong feeling topic one worth discussing convinced perspective offer already adequately expressed someone else,fun
hate feeling bothered without also feeling hot,hate
feel disgusted see href http twitter,hate
feel less agitated,worry
really excited try place highly recommended friend  located first floor venetian great location  unfortunately came away little disappointed  specialty coffee served european style small cup  tried one specialty coffee thought ok    also hazelnut gellato  grainy little powdery  mango gellato son tried better consistency akin sorbet  price even vega expected better,neutral
used feel rejected like fault overweight,sadness
think best issue ever feeling frustrated uneasy,hate
feel presenter leaf immediately give impression caring enough,happiness
definitely tell focus strong school instead feeling helpless discouraged simply kicked happen mode,worry
wishing november away trying forget thanksgiving need mindful really matter feel overwhelmed,worry
honored beyond word gratitude thrilled every day life helped woman shift feeling toward positive,fun
upon arriving extremely cold  degree day la vega sisterinlaw brought u eat lunch waiting  minute line finally seated allowed explore eat heart knowing carbs quickly fill went straight good old bbq protein meat section serve crab leg lunch got chicken rib kielbasa sausage prime rib ok best first plate went fried stuff hush puppy onion ring fried food cannot even remember scarfing second food plate decided take break assess much food take minute decided take stroll line food one last time wanted try pasta italian food looked messy resisted urge asian food section traditional westernized asian food stayed away well decided take cocktail shrimp surprisingly good great finally went get main meal daydesserts got tiramisu cooky cream gelato sweet treat ok thing thought good drink always filled every time came back getting another plate food really glad expectation buffet high place ok best thus  star rating,neutral
think lonely feel grouchy agitated esily airritated,hate
like say thank saying please make feel rude,hate
grateful feeling overwhelmingly blessed morning,happiness
feeling horny want bad picturing seeing mouth remember said lip said know type trick ready taste,happiness
recently found ashford feeling suitably terrified,worry
feel little neurotic everything house completely clean room look little less like disaster area good,worry
feel violent inflamed reckless hostility seething surface cannot muster capacity quell,hate
feel like know well enough let know smart girl,fun
dinner fiance food ok say manti best part meal,neutral
feel like touch sweet little way saying care adorable totally going high school backseat thing later,happiness
cannot decide like michael character admirable feel lincoln he innocent sucre cute funny bag sooo bad way freakishly seductive abruzzi whimsically evil c note actually good guy,fun
feeling pressured since first quiz subject need get score pas grade yet,worry
try adjust overdoing feeling kind useless frustrated physical limitation,sadness
feel steven he afraid tell like either,worry
feel somewhat horny high p,happiness
feel depressed feel like would negative influential big brother,sadness
feel like faithful friend son brother uncle co worker church member,happiness
first time located craig food chicken amazingly delicious   regard service happy service  used bathroom extremely dirty next time order go drivethrough overall great food,neutral
feel bit frightened possibility feel much independent nice look forward,worry
feel numb like life living past week unreal,sadness
semi cold glass beer would definitely would rate place  half star waiter pretty sweet little bit sushi freak  something warm sushi really put couple day scare bubbleguts  best absolute worst place pretty clean unless want gamble food poisoning would go   stomach rumbling sure good sign uhoh,neutral
talked much feel video curious,surprise
say incredibly grateful feel talented group people took story turned delightful piece musical theatre,fun
change bad everyone know know know fish know plant know bos lie heshe know  taro today surely best non highend restaurant sushi canada removed counter stool seat force people eat since everyone know takeout sushi nice palatable threeday old cake seems last visit taro sure dislike disdain customer took advantage seat counter clearly putting bag rice counter taking away chair mean really need space made sure fill something else purpose loss customer business sushi menu still amateur people live next door  buy sushi sushi want send store sorry cold sushi sitting car hour cool suv fourdoor porsche lady automatically know stuff  store still selling packaged whole fish japanese edible garnish course enjoy standing line mr taro also sell japanese cheesecake matcha cake see uptown know business make money back trend gone ability order roll sushi sashimi clam even tempura enjoy  bad always picked something whenever visited whether fish readymade food oden care soy sauce pick thing elsewhere well  see told change bad corporation hypocrite type always repeat lie change good change better change needed etc true would needed constant preaching   getting car noticed kabob place two door amber conditional pas city clearly eating either,neutral
ok got arugula salad gnocchi one u got brick flattened chicken food pretty good vegetable claimed come chopped fine lost sauce land gnocchi chicken food still good hour ten minute took come hoping would well worth wait probably extra long hour plus could hear person sitting place appears draw loud case western crowd glad gave place try probably back many italian place within  minute blow place water,neutral
love able publish online sometimes cannot help feel ache longing handwritten thing pleasure simpler time,happiness
never problem drive thru like others complained order mild hot box get correct order dry never wait long time noticed sign drive thru certain item never something counting getting never gone inside cannot comment continue visit popeyes convenient home,neutral
review based two visit pinky time came friend walkins without appointment recently came yesterday monday wait time busier wait half hour good selection regular polish well organized well shellac opi gel however sometimes running low colour ie last time asked select different colour nail tech think would enough cover nail also colour shellac wheel kind faded accurate  surprised brought bottle colour even close thought picked luckily accommodating let change mind time  time came got shellac mani got regular pedi well see service kind hit miss people super friendly definitely reserved andor attitude first time got male technician seemed nice enough think speak much english bit klutzy second time got girl seemed proficient job gave attitude asked could file nail shorter finished one hand  asked went ahead nail would put request sooner  said definitely thing like especially pinky service thorough pedicure take time scrub massage leg place really really liked manicure like moisturize arm hand massage lotion also get back massage pretty cool stuff  wish would ask go ahead start touching though  term actual manipedi quality pretty good issue shellac chipping anything first time bit pricey unlike place charge tax top see becoming goto place decent nail salon downtown toronto,neutral
feel like craving matter order really impressed,surprise
feel overwhelmed want forget,surprise
feel always tad bit troubled conclusion day due fact really often desire hit personal sale aim office,sadness
best reason go trader vics drink  rum make appearance kitschy delicious  alcoholtasting others mai tai wonderful coconutlooking glass hoot  food four companion agreed overpriced quality  fried rice good really better would get good chinese restaurant  paid certainly expected shrimp would bigger size quarter  disappointing  one companion ordered salmon said good necessarily better could grilled  got dessert sampler well  idea little everything great one restaurant  however creme brulee nicely fired crust top   staying valley ho want quick stumble back room many suffering bastard would recommend  otherwise sure better restaurant scottsdale  go vics drink dinner elsewhere,neutral
feel heat disapproval failure breathing hot neck heart,happiness
driving little every week around suburb license feel really safe,fun
also feel useless unfulfilled,sadness
transgender brainwashing attempt making feel horrible though trying deceive physician germany believing intersex,sadness
think might lacking judgment matter feel like going go away unfortunate regretful way possible,sadness
one sip already feel dazed,surprise
pulled chicken onion amazing kosher subway america chicken nest pulled chicken onion taste like subway ordered wing side disappointed though five little wing next meat changed  would go back chicken nest left bad feeling wing portion price,neutral
work close food least week twice tried several dish asian takeout great waitress always quick helpful smile issue older asian woman find rude phone person went lunch last week ordered side ginger dressing usual tell put use place brown sauce however pay call today place usual order tell cannot dressing salad first fuck tell condiment pair dish  secondly stated phone brought person woman lie say happenlastly rude person head house dealing paying public wanted slap many time never give money establishment stop taking waitress tip,neutral
feel sympathetic people deal person perpetuating none,happiness
look experience feel blessed,happiness
feel strange wotcs behalf,surprise
getting feeling secretly admired therefore thing turned something,happiness
heard sex two year lived always feel sympathetic happy happens,happiness
feel listless deflated,sadness
feel nostalgic longer sleep chest fit crook arm,happiness
walking home work feeling extremely joyful kick accomplishment work week deliverable finished time good quality,fun
one two flight planned opposite end nation truth told got feeling nervous whore church,worry
feel read lovely comment sweet email always send,happiness
feel miserable inside outside like,sadness
must feeling romantic remember distinct impression eye dancing merrily,happiness
analyzing every detail life making feel like fucked somewhere along way,hate
woke morning feeling like unfortunate drain cover href http www,sadness
feel little savage angry definitely rageful,hate
american bbq fan placed changed mind  many choice think   choice coming side either ate got   ordered combo plate half chicken half rack  bbq sauce good like bbq sauce bbq bean good like bbq bean   regret ordered full rack,neutral
unsure would feel loved old,happiness
feeling tortured,worry
still feel little dazed sort disbelieving feeling oh god,surprise
wish spark wisdom would wash away angst seem likely way feeling agitated angry better feeling feeling sad hopeless,worry
ended two pumpkin carve offer mum feeling generous agonised carve,happiness
help feel much energetic especially,fun
feel summer coming catch glimpse gorgeous maxi dress beach skirt run away literally,fun
also asked people feeling went superior performance bowling sport,fun
try suppress feeling stop caring,happiness
actually feel body longing,happiness
gave dupatta coz coz thought would feeling shy look like mean straight presence,worry
feel furious anger,hate
food really good miss casual old neighborhood place  used stop quick sandwich time  would walk counter order sandwich go efficient guy behind counter would walking great sub minute  last year though table service  good food slower expensive  italian sub side coke   tip sure good something going every day,neutral
wynns  hour coffee shop  breakfast dreaming perfect pancake  well terrace point caf  four pancake huge  thick large diameter  sadly quality fair heavy  however link sausage good crispy chewy skin juicy meat  bill   returned scene crime another trip  four morning dinner yet playing crap hungry  settled french toast decent four large thick slice eggy bread fried brown  still would first choice place eat pinch,neutral
want happy got truth revealed feel like idiot feeling way special,fun
eating lunch listening made feel like gagging course problem like call sympathetic hyperventilation vomiting,happiness
come home feeling drained paralysed try study brain shuts ill end snoring away bed visiting dreamland,sadness
deal fact society want everyone feel like fake love couple day forget emotion,sadness
usually tell feeling pretty annoyed butting quiet time,hate
feel hesitant returning jewish girl interest want jewish boy looking nice jewish girl,worry
feeling little sort blogging sweet note back,happiness
feel control petrified petrified,worry
understand time belt must tightened truly feel worthwhile cost effective use federal dollar would much rather see face budget cut total eradication,fun
feeling bit lonely poor henrietta shop long ariel right chelmsford waiting,sadness
going wait hour get pizza least get right one apparently deluxe without mushroom mean want chicken alfredo pizza waiting  hour another one  star good mozzarella stick though,neutral
feeling awful hung friend new baby day,sadness
dessert okay make sure use washroom one toilet male female customer gross cash,neutral
feeling insecure gradually increase keep adding,worry
feeling shaky morning taking well,worry
feel sincere good life strives destroy feel worthwhile life meaning,fun
alone hot pool boulder hot spring feeling fearful,worry
facing consequence little fall yesterday day night yesterday could feel every little muscle back slowly knotting protest unkind treatment received,hate
feel caring effort appreciation time together,happiness
begin praise lord spirit immediately lifted feel lighter pressure leaf trusting god care around,fun
noticed one specific accessory made outstanding presence wardrobe firmly believe go detail feeling outfit apprehensive also staple personal style,worry
stay tuscany suite vega get  coupon fancy good enough taste grilled tilapia prime rib ok,neutral
remember feeling really dazed amazed happened little know surgery good luck sure bad luck everyone,surprise
feel paranoid talked two day scared,worry
really enjoyed look feel far less apprehensive dot point,worry
feel need explain title even though probably smart already know,fun
always find way feel impressed,surprise
feel stressed office thinking salary getting really worth,hate
catholic certainly feel place take side issue curious leadership catholic church mesh people issue coming year,surprise
towner excited check place dear friend brought pound bean thoroughly enjoyed ambiance unique noteworthy tried cheddar jalapeo muffin nice blend sweet savory coffee hand underwhelming got whiteout cappuccino wife got vanilla latte upon tasting espresso drink could taste unpleasant bitterness describe chemical turpentine usually mean bean improperly roasted also think microfoam cappuccino could prepared better bubbly good cappuccino normally   could visited day know good bean day happen sometimes,neutral
getting really feel dazed confused moment,surprise
feel little like hot air balloon weekend joyful thrilled flying high,happiness
stay koa park often tend higher price sometimes better park area stopped one close family going visit   la vega koa sam town destination park rate park destination staying park visit surrounding area park offer park big pool spa activity andor golf course place usually park town similar price maybe think casino drawit short walk   paid approximately  per night site really parking lot site tree best part site small gravel track everything  tree shaded part day nice kind tree reason  star site close see window next rv keep shade way close walk leave inch place   doubt would stay usually stay side town would definitely select park one definitely nicer large pool small useable gym  room breathe,neutral
still feel hot said aj frowned,happiness
feeling proud attempting write full song,fun
feel like house constantly dirty truly hate cleaning especially tired,sadness
feel like respected,fun
easily one overrated burger life cannot handle slice american cheese seems knock good portion menu looking double double beef pretty darn good good luck savoring overwhelmed practically salad bun least toasted perfection  also fry blow yeah yeah trans fat freshly cut potato dgaf like anyone health freshness mind fast food joint novelty great ingredient wear realize every item ooh animal stylewho actually finish monstrosity would want  stick something simple nice hamburger grilled onion leaf content anywhere near foodgasm hear california transplant raving  pro clean open lobby til quality ingredient  bad  minute one damned hamburger variety unless feel like adding fat fry lackluster thousand island gtfo   would get two star business practice groovy suppose tolerate place,neutral
want express feeling love smile make happy,fun
certainly going sit tell going personal life feel ever curious going life would watch show,surprise
spent many year feeling resentful angry allow u mourn,hate
feel horny could go two successive orgasm,happiness
need know get upset feel like casual partner insead wife emotion ruining thing,fun
feel uncomfortably helpless,worry
feeling like shocked rat skinner box experiment,surprise
one feeling naughty either,happiness
think u admit one important thing child feel accepted part group,happiness
stay home take care daughter end feeling frustrated least feel guilty feel frustration indicates bad mother,hate
may resurrect feeling generous lengthy series history celebrity crush,happiness
cannot feel anything longer hammer retreat violent ringing sound leaving mark,hate
located downstairs palazzo convenient food ok expected little   arrived vega got room saw coupon place gave try plus quick cheap togo window right outside restaurant decided pick food eat suite   tater tot cannot go wrong short rib slider great boyfriend regular burger food great opened midnight,neutral
feel feeling still convinced way go,fun
feel heart much hurt,sadness
feeling bit agitated needed dispense pent energy,hate
got feeling quite shaken fall moment thought seeing double,worry
feel like selfish want family instead accepting hey,hate
get feeling he impressed,surprise
feel like mad hatter alice wonderland,hate
feeling quite lovey romantic want special thing go little adventure loved one without fund spare anything need brainstorm think warm lovely thing drink lot redbull beforehand,happiness
trying understand feeling ignored,sadness
feel wronged many way,hate
feel clever ish,fun
still sort feeling confused discombobulated,worry
feeling low lately feeling hopelessness disturbing making tired sick entire living kind life,sadness
sad kid whose mother obese depressed feeling hopeless health,sadness
want ask think selfish worried hell perceive accusation last thing want think feel hostile towards,hate
started feeling hot spot heel shoe,happiness
handle affair feel respected,fun
bad sin city brewing location little alcove miracle mile shopping walk  brew really good beer room  people enjoy beer four five star worthy nice location similar gordon biersch brewery paradise would one place la vega   perhaps want beer bother food requirement big establishment  day son stoped chance visit brewmaster made totally worthwhile visit  beer great   location ,neutral
cat died illness u year lovely cat ill one two week veterinary surgeon told u dying,sadness
completed story feeling angered lack justice simply understanding france would go trouble purchasing grave marker brodens unmarked grave,hate
feel privileged,fun
feel like need something delicate perhaps bone china porcelain cup mug,happiness
scared move feeling unsure,worry
leave pool even feel horny fell like touching playing shower washing pool water img src http pamelaspiceblog,happiness
always feeling amp may one day realize precious customer following rule tried careful usage,fun
feel submissive,sadness
feel picking piece forever faithful seemed hand bad situation able hand pain hurt look less like scar,happiness
leave could go merry way could stop feeling like unimportant,sadness
really feel huh horny eh,happiness
wish comforting feeling instead feel strange like living memory someone else maybe woken long dream long sleep year finding tree around grown taller,surprise
rode wave painful feeling accepted accepted single right,happiness
feel smug spent day nice warm house shirt,fun
love mother grown longer whiny little sister feel fearful mother aunt angle also sister walked prayed hallway john hopkins gene sister beloved little brother,worry
feeling little burdened lately sure,sadness
kind laying disappeared arm playing computer got turn eat dinner way adjective sudden wierd feeling collar chest felt like bounce electricity shocked something left paw,surprise
love place almost everything need kitchen bedroom go broke stay long little odds end would think buying guess merchandising working,neutral
sushi bloor provides decent food affordable price fair order sushi come usually opt bento box cannot say much quality sushi teriyaki boxed meal usually get salmon delicious usually bit weary ordering salmon texture come weird cooked right never problem also provide option brown rice dollar white carb phobia seating bit cramped however casual quick dine type place bad price portion location,neutral
keep telling people dissertating feel weird using word,worry
truly feel disillusioned world year believing helping others getting immense joy,sadness
feel like fake feeling lot often would liked,sadness
feel aggravated tense need air personal space free allergen asthma,hate
like good dilworth location little wait table food served quickly mimosa bellini delicious good size price    gripe omelet odd egg fully cooked ingredient  cheese vegis etc  entirely separate egg folded plain cooked egg never omelet like anywhere else food came quickly make wonder egg precooked stuff ingredient order placed bloody mary mediocre recent visit one particular server rude experienced sure make   bottom line area good place grab decent breakfast restaurant would seek,neutral
feel dangerous feel using best skill driving,hate
qualified form one three pupil qualified form year,fun
place pretty awesome taco good athough nothing like mexico  good menudo really good little priced worth serving look small filling thing would complain price overall good experience also check get free chip salsa,neutral
care still action toward seem convey feeling caring much,happiness
guess detector god whenever someone us feel evidence instead think evidence prove evidence skeptical,worry
bit lip slightly whispered feel weird tell hurt,worry
might feeling like called sweet little stay home wife mom cook everyone since spend time kitchen anyway,happiness
found coworkers love pho started disliking little less kidding case read review let u make awkward everyone  raving pho place really close work decided make lunch trip reserve table  arrived noon found mob pretty disgruntled people inside waiting seated quietly asked put name anything cut lady full rage line table one taken name  anger lady even grabbed server let know reservation  immediately seated first  available person booth unfortunately facing angry lady sorry yo made reservation awkwardly look away  although pho place serf pretty big thai menu wtf figured going traditional vietnamese pho way go got usual roundeye steak brisket pho coworkers went  meat pho food came soon enough drowning herb lime juice chili sauce dug    say complaint taste pho cannot dare give  star tasty pho usually broth particularly aromatic flavorful meat good quality  tasty yes would eat sure would take people pho place area way way tastier place better component nearby  decent lunch nothing rave fellow yelpers,neutral
feeling little anxious today glad got verification,worry
feeling frustrated needed come yoga studio today take class work make phone call return email thinking show soon,hate
wish could dance swing definitely feel cold,hate
want hurt feeling make mad,hate
coming restaurant year recently service keep going downhill waitress rarely come back even make eye contact bringing food hard get refill takeout box even check matter  food still good service going find new mexican restaurant give raul theresa long break try,neutral
feel little shaky actually discussing book blog honestly,worry
feel low felt low suck,sadness
guess feel give resident cookietown way report suspicious activity anonymously help cut pastry trafficking,worry
history putting everyone elses need ahead point feel resentful something alone,hate
feel stressed result extremely unsuccessful part plan,hate
feel uncomfortable day aiden disciplined spyke right,worry
anemic sooo tired lightheaded get spaced feeling anxiety attack terrified passing,worry
member sam  nathans hot dog meal steal,neutral
find longer spend israel less comfortable feel attract suspicious look certain quarter people wondering close home sand holy place,worry
try give much make people happy satisfied turn sometimes feel dissatisfied sometimes feel like people try,hate
learn feel constructively dissatisfied,hate
grateful every single thing maybe ill start feeling dismayed,sadness
food good nothing special basic mexican food   got fish taco friend got enchilada every night different special night half wine bottle  service quite slow eventually got bill forgot put discount charged full bottle noticed paying wait correction,neutral
saw galaxy magazine feel curious singer famous,surprise
convince write feel like exposing lousy trying,sadness
feel shaky quit,worry
feel comfortable engaged learning,fun
graben  drink hot afternoon thai iced tea passion fruit lychee soda like thai tea maybe sweet lovely place relax love bag hanger sweet,neutral
solid   clean quiet cafe affords pleasant place sit sandwich soup  quality nothing write home good option bloor  bathurst area quick bite simple adventure,neutral
feeling long time listened agitated house music like one,worry
feel truthful say swim moment happen percent mile open drinking water happen fairly nicely dedicated,fun
feel admired someone know little,happiness
feel tortured talking,hate
feel wronged feel unjustly treated feel jealous,hate
told right brain fear exercise also help whenever feeling frightened worried something,worry
feel like one blamed thing,sadness
finished college couple kid worked feeling entirely discouraged camera function wanted feeling like could decent job taking picture decided give another try,sadness
feel like kind bitchy,hate
slow got order wrong waitress nice probably first day job food average really slow,neutral
plagued throughout life uncanny feeling disappointment enough doomed fail others delight told,sadness
feel overwhelmed thinking still need get done less two month left summer wild crazy kid,worry
overwhelmed feeling loving heavenly father cry moment tear sprung eye,happiness
feel bitter hateful time,hate
fuck coat really still feel like know rock swag look little lame trying whatever though,sadness
feel feel want shout something something thankful joyful,fun
keep feeling sometimes one fake till make,sadness
mean really really hard work obtain high technical skill wushu feel kind ashamed somehow motivated saw kid wushu performance whole heartedly despite tiredness,sadness
place way crowded liking food anything special especially price charging  service good although large private party catered,neutral
chinese mum chinese sister spent two important year life china someone know conversation like one feel pretty hopeless power education,sadness
many cookie cutter since make cooky per year maybe twice feeling benevolent,fun
feel like calling bitch exactly bitchy coz intentional could call ungrateful inconsiderate selfish ok ill say bitch,hate
start feeling agitated frustrated worried anxious,worry
hate feeling complacent,fun
cut magazine year ago posted somewhere plain view currently bathroom feeling insecure sorry read remind keep moving,worry
recently activity university christian union cu looked fear reason make u feel apprehensive talking faith god love u know lord,worry
feeling rather lonely,sadness
control issue though really kick badly feel unprotected trust safety net,worry
demand accomodation campus refused room allotted first year student rucher came influential family,hate
would like feel completely terrified drive snowy road,worry
feeling bit disheartened one black belt instructor dojo richard asked let anyone else set destiny,sadness
remember watching feeling devastated sheer familiarity,sadness
talk often admit still feel like successful author,fun
feel glamorous,fun
trouble sleeping anxiety causing social life suffer lack motivation used drive work quickly becoming chore satisfied feel dull uninteresting,sadness
feel like mission sometimes casual keeping commandment understanding important wonderful commandment,fun
feel like strange antisocial creature difficult cooperation,surprise
may starting new band name straight feel like confessing beloved friend well saying sorry worrying ayabie addiction recently,happiness
feel honored since much share come easily someone else need,fun
try friend feel like everything still incredibly delicate,happiness
feel crammed rushed around everywhere really always something feel lost moving thing,hate
feel shitty fuck,sadness
feeling determined week well going let self go back hating self going back docters depression panic attack hopefully help,fun
doubt experience one moment know feeling person could upon reading sincere account,fun
came bachelorette party last saturday night  girlfriend got  pm able skip line cover charge lady line inside offered seating vip area amazing even let u dance platform unfortunately fairy tale ended someone actually purchased table fun lasted staff around vip area cool accommodating even though paid  bartender mixed nice strong patron margarita think  bad price considering bud light  pay extra  get top shelf liquor thanks dj played really good music kind top hip hopdance mashup thing like others said would switch song soon time whole club stopped dancing good beat going side note music extremely loud took good hour left ear stop ringing complaint comment bouncer outside vip area quite cool waving little flashlight around got annoying major power trip better club experience past although probably past always guy time group lady might go back clubbing mood struck,neutral
always feel uncertain even people keep assuring already,worry
feeling artistic today,fun
ordered fish  chipshorrible changed cod fish pollack menu still say fluffy white fish since pollack considered white fish,neutral
achieved little somehow change feel bothered indismissable fact,hate
starting feel little frantic eating,worry
three star stand could go either way practically used live place lived coventry basically cave amazing selection wine beer bloody mary make miss cleveland kind beer wine want find   hand staff hit miss incredible expanded understanding thing alcohol flippant uninterested right jerky snob thing crowd relaxing friend okay fine wearing marc jacob piece thriftwear dissing band someone else heard quit hogging table   mention cheese board yet oh dear god splurge well worth order cheese board,neutral
started feel hot spot bottom foot could tell going nasty blister,happiness
feel herpes coming would surprised point make checkup clinic wednesday,surprise
love coming food great favorite clam chowder friday unfortunately last week decided discontinue soup make mean clam chowder friday really bummed main reason returnwhy alex,neutral
want avoid feeling naughty,happiness
apologize anyone feel wronged hope everything go well jasts negotiation nitro pb,hate
feel privileged lucky work set much love working comfort home naturally couple downside particularly annual leave,fun
feel gentle warm breeze fur replied old bear,happiness
feeling happy excited,fun
find feeling agitated kid playing ask play way little,hate
starting understand artist author feel fearful conservative group try ban work,worry
maybe expectation high expect people handle food sanitary manner last time ordered sandwich watched man front handle cash slice meat make sandwich without putting glove washing hand thanks never  first time ordered beef stew come buttered bread corn mashed potato definitely much eat lunch food pretty good  seat inside expect order go place accepts cash,neutral
feeling adventurous yesterday decided whip something,fun
promised good past whole week even feel horny,happiness
location fortunate caleb associate reason store gotten star  alone delivers  star customer service whereas colleague interested right anything else  try keep short  looking door latch fitted older door  adjustable one  colleague whose department lock hardware adamant door handle come adjustable latch fit standard door size  never said possible buy latch fit door handleknob never looked item would fit description  caleb hand opened door handle box asked another associate would knowledgable looked online associate spoke understood looking  found product looking competitor location calm professional helpful    otherwise hit miss  shopped location word lie least  time last  month renovation  anyway gem work location one find need home garden,neutral
love industrial vibe place love server nicest ever come across love menu everything mouthwatering close  food come lightning fast like still wondering ordered right stuff bam leaving decide looking flavor also spot even television nail least asian game show along line mxc subtitle everything nice  quite right execution dish   ramen mac  cheese flavor good warm unfortunately minute two cheese turn government cheese glop attractive crispy pork skin added nice texture dissolving glop   wing specifically soy garlic suspect others flavor spot breading thick tough get meat think breading alien radioactive tromamovie like superthick skin really know son loved however   pork belly great flavor totally mixed texture meat great fatty portion bit good cracklins often tough eat due fear breaking tooth next time pulled pork would probably make better choice   bun related trying make sandwich pork belly item good choice pulled pork would probably excellent decision   sweet potato swirl amazing flavor one oddest thing ever eaten get mouth dissolve cloudy goodness getting challenge bonus save take home chill fridge becomes lot easier eat though still get stickiness sauce finger   potato swirl stick also great flavor little unwieldy quite bad sweet potato however point slowing appetizer would probably better  end result amazing flavor even presentation great eating thing easiest definitely messy think fajitas worse probably first date place wetnaps would wonder,neutral
feel though putting beloved child bed long winter rest,happiness
endless stress managing staff exhaustion frustration running business feeling coping rather caring child immense irritation every time want eat healthily exercise something come along wipe good intention,happiness
look closely happening online world feel insulted,hate
feel unimportant probably,sadness
know rarely feeling kind gentle forgiving magnanimous bitch aunt flow town,happiness
checked earlier today young woman desk yesenia deserves five star great polite friendly outgoing professional thing customer service wanted say first might bump star service rest hotel  ihg reward member travel frequently like try different hotel ihg family tend stray away holiday inn wife feel like staying home leaving town holiday inn ihg surprise booked king room went fairly new hotel outside looked nice pretty standard level expectation check went quick always try stay top floor hate footstep try sleep could could front desk clerk told baseball team house stay would really loud uhokay guess loud next loud fine second floor big deal complaint kind weird room pretty standard size hotel room king bed bed particularly small comfortable room extremely visible wear scratched furniture wall strange new hotel got rather unappealing view well room warm ac worked fine room overall clean huge mirror bathroom standard amenity oh pool tiny really small well taken care review mentioned however close everything surprise including library stadium water park public pool water slide shop etc overall would book hotel choice staying surprise would stay solely loyalty ihg,neutral
feel feel like god shaken awake,worry
feeling naughty,happiness
three star visit went sunday little lunch time barely anyone gorgeous day got sit near garage door enjoyed atmosphere immensely  really small crowd drink took long time make nervous really busy  food drink great thoughexpensive expected prime location serve homemade corn tortilla huge fan difficult find alternative option limited menu however tostada looked amazing sister got would totally smash next time chip salsa generous portion price chip came warm crispy drinkswow fresh flavorful sangria bakersfield margarita die sweet still full fruity flavor  come back gorgeous interior great location little way hustle bustle west side market indooroutdoor seating plus server friendly,neutral
eat friend jealous watch movie others feel insecure beside,worry
put material thing feel greedy,hate
verge tear feel hateful towards museum,hate
feel pretty anxious nervous quite giddy excited,worry
feel startled nervous,worry
feeling bit rebellious,hate
really looking forward trying pink since landmark hotdog place la say little disappointed good place quick dog expect incredible hotdog experience,neutral
feel angry sad,hate
first tuesday  taco great second time went much service bad food quality first time maybe got lucky,neutral
got late one night gave place try cool place dining outside right next one pool chicken club fry nothing special fry great bacon outstanding  yes love bacon much yes outstanding word beer cold fireball offer chill though back ton stuff menu want try,neutral
never ordered pizza stopped slice goodness   small pizza joint aimed sitting slice thing rest take outdelivery usually kind slice za kicking around lunch time usually stick usual suspect hawaiian pep cheese agree sauce great  sweet lack flavour required compliment nice crust nothing really wow stuff fluffy crust  carb city  want filling lunch stave pm hunger pang replace carbo groggines place got covered   really sit chair waiting would feel odd eating plan get nice day pull patch grass take back work take away  convenience trump quick walk work  budget price   filling slice soda,neutral
dad would give show   thought highly entertaining different typical cirque de soleil show people book vega trip  note audience member older generation  thought enjoyable cup tea  accompanied dad watch show would go accord,neutral
feel blessed peace even despite worry challenge time,happiness
feel whiney moment,sadness
tell ya following norma inspired diet week tomorrow feel amazing,surprise
also feel like becoming bit neurotic,worry
shopping ge least yr  convenient work home  think location would great makeover urban redevelopment going around believe store corporate owned sure redevelopment plan  evening check line get pretty long  outside usually find people offering jitney service selling food stamp selling bootleg dvd lol  fresh seafood department would make store much better  think location open ap,neutral
pizza good east coast quality close would expect great sauce cheese ratio crust reason give  star,neutral
wasted disgusting amount money today feel vile,hate
used talk great together moved really talked since except letter together anymore still feel like loyal know,happiness
located one many shopping complex ringing north side phoenix bjs brewpubsports bar serving casual fare bargain price  blame lunch rush service crawl though waiter friendly knowledgeable menu food fine  went parmesancrusted chicken sandwich chicken breast coated parmesan bread crumb served soft roll lettuce tomato garlic dressing little heavy lettuce tomato light coating good sandwich particularly good thincut fry  get chance sample dozen brew looked like solid selection brew soda well,neutral
feeling particularly disheartened unmotivated today,sadness
feel valued become bitter towards others emit anger brain get scattered,fun
hated day job month feeling like cosmically punished good deed getting ready quit met woman would become wife,sadness
came home kyoto awful cold someone stuffed head full cotton wool feel weird every body decides lung really outside try put,worry
feeling miserable c also proudest mum earth,sadness
feel nothing fond regard dear colleague,happiness
hardly stand beautiful feel glamorous gown,fun
far favorite salad spot  salad fresh tasty  carnivore actually get salad  portion good leave hungry last whole work day  veggie meat five star favorite item menu  used like seasonal squash soup  one time extremely salty dilute water reheat microwave  service fast despite long line  order ritual ahead time  oh card cash,neutral
know whole alf business age feel time precious sudden low tolerance b,fun
food truck decent   food truck tonight  seating plastic picnic table,neutral
think feel bit threatened sometimes like guy watch u get kind intruding,worry
feel perhaps eager beer two part daily ritual,fun
woke later morning clear feeling pretty lousy luckily normal vet appointment available later morning,sadness
feel two girl shocked saying,surprise
think went pretty well interview always leave feeling bit uncertain even feel confident could get job,worry
feel messy,sadness
feel horny minute feel like studying complex molecular movement next um,happiness
close airport free shuttle airport leaf every  minute  bed tv great   room stale musty smell ok  happened stay saturday night spring break hallway full noisy teenagerstwo busload full stay restful  manager handled dismay well refunding  charge think great   front staff driver friendly breakfast buffet adequate included price room also good free wifi  foot lot around industrial area apparently pub food  minute walk ordered pizza papa john deliver also tack extra   delivery aware  would stay,neutral
know guy like confident need overly submissive type person make feel superior,fun
provided dinner alcohol place crash got return feeling completely unwelcome apartment,sadness
love way feel love permanence love nostalgic feeling key fingertip,happiness
